,Tm
120,KAH8502857.1
121,KAJ6916896.1
122,MCH83224.1
123,XP_025376039.1
124,KAI8540763.1
125,XP_020546942.1
126,KAG5611659.1
127,KAJ0450347.1
128,POE62174.1
129,KAJ2760750.1
130,KAJ2638927.1
131,KAJ2603325.1
132,KAJ2236770.1
133,KAJ2235425.1
134,XP_020273971.1
135,ONM16981.1
136,CAB3487253.1
137,CAB3484729.1
138,XP_037222141.1
139,KAJ0041010.1
140,PAV22494.1
141,KAJ2704867.1
142,KAJ1642790.1
143,KAJ2725737.1
144,XP_021801657.1
145,KAJ2704866.1
146,KAJ2843618.1
147,KAF9512406.1
148,RPD54405.1
149,KAI0716178.1
150,KAI0757784.1
151,KAI0364901.1
152,KAF8733927.1
153,KAF8349696.1
154,XP_047257764.1
155,KAI5324427.1
156,KAE8706840.1
157,CAI0428957.1
158,KAI0639988.1
159,KAH9897829.1
160,TBU49310.1
161,OSD03376.1
162,KAI0285466.1
163,KAI0347958.1
164,KAI0347957.1
165,KAI0684751.1
166,KAI0803199.1
167,KAJ7143411.1
168,KAI0363752.1
169,OSD05587.1
170,KAI9062271.1
171,PSS36716.1
172,KAJ7098235.1
173,KAF7334124.1
174,KAF7364509.1
175,KAJ7306798.1
176,EEF33413.1
177,KAG2484490.1
178,XP_041190553.1
179,KAJ1394148.1
180,XP_004963305.1
181,PWZ30185.1
182,XP_039841525.1
183,KAG2630981.1
184,XP_039841239.1
185,MQM00281.1
186,XP_020181759.1
187,XP_020092903.1
188,OAY78876.1
189,KAJ2722695.1
190,KAJ1901827.1
191,XP_051395613.1
192,KAJ1947025.1
193,KAF4351895.1
194,KAG7614273.1
195,CAI9780949.1
196,XP_024387113.1
197,PNR59945.1
198,KAG0613753.1
199,KAG0570015.1
200,XP_024369002.1
201,KAG0625966.1
202,KAJ2783336.1
203,KAI8319693.1
204,GAY64520.1
205,KDO43711.1
206,XP_052196154.1
207,KAF7347640.1
208,KAJ6520050.1
209,KAJ6575349.1
210,KAF7339275.1
211,KAJ7675386.1
212,KAF7339276.1
213,KAJ6520049.1
214,KAJ7438014.1
215,KAJ7491411.1
216,KAJ7492400.1
217,KAJ7246297.1
218,KAJ7109986.1
219,KAJ7926007.1
220,KAJ7170104.1
221,KAJ6503303.1
222,KAJ7040383.1
223,KAJ7446425.1
224,KAJ7631185.1
225,XP_021801425.1
226,XP_057826979.1
227,KAF8406175.1
228,XP_028118511.1
229,KAI9113881.1
230,KAJ7952718.1
231,WP_250357402.1
232,WP_184595590.1
233,WP_035872803.1
234,WP_170858645.1
235,WP_129564305.1
236,WP_209757078.1
237,WP_201080880.1
238,WP_133097485.1
239,WP_165187662.1
240,WP_028221143.1
241,WP_158950836.1
242,WP_301842443.1
243,WP_233882278.1
244,WP_008062814.1
245,WP_110662922.1
246,WP_213959601.1
247,WP_090320282.1
248,WP_286612344.1
249,WP_180204709.1
250,WP_201698175.1
251,WP_158758236.1
252,WP_059402656.1
253,WP_261502170.1
254,WP_053119709.1
255,WP_096510511.1
256,WP_151214401.1
257,WP_157710765.1
258,WP_099795957.1
259,WP_217872388.1
260,WP_223466264.1
261,WP_223456048.1
262,WP_286561170.1
263,WP_286656383.1
264,WP_286369613.1
265,WP_286529858.1
266,WP_114469988.1
267,WP_286566067.1
268,WP_184523702.1
269,WP_068641266.1
270,MDE2454730.1
271,WP_192401911.1
272,WP_046817351.1
273,WP_006164074.1
274,WP_201141013.1
275,WP_197878383.1
276,WP_046040401.1
277,WP_150718267.1
278,WP_160385904.1
279,WP_011519439.1
280,WP_274293781.1
281,WP_238287614.1
282,WP_224042475.1
283,WP_016348316.1
284,WP_091804514.1
285,WP_137953945.1
286,WP_129562024.1
287,RZL89442.1
288,WP_114134467.1
289,WP_106853527.1
290,WP_209770664.1
291,WP_238269165.1
292,GJH37333.1
293,WP_115014907.1
294,WP_035986252.1
295,WP_010808912.1
296,WP_211955038.1
297,WP_027794489.1
298,WP_224010225.1
299,WP_144113402.1
300,WP_050452777.1
301,AGW89652.1
302,WP_137920828.1
303,WP_061167058.1
304,WP_061160612.1
305,WP_137922549.1
306,TQC95397.1
307,PLK83924.1
308,WP_201159091.1
309,WP_049260196.1
310,HBX0051549.1
311,WP_289498501.1
312,WP_071080893.1
313,RCA03939.1
314,WP_200793209.1
315,HCT9292679.1
316,WP_114136859.1
317,PLO23995.1
318,PLM49794.1
319,MCU8666171.1
320,WP_102055515.1
321,WP_261778573.1
322,HBR6280720.1
323,WP_259002582.1
324,WP_272537897.1
325,WP_272662450.1
326,WP_272664466.1
327,MCK9789946.1
328,WP_142524037.1
329,WP_004259376.1
330,WP_144141124.1
331,WP_272524008.1
332,WP_286210503.1
333,WP_272567403.1
334,WP_181489900.1
335,WP_165880563.1
336,WP_096864443.1
337,WP_004907760.1
338,WP_209101757.1
339,WP_102138111.1
340,WP_196719629.1
341,HCE8604033.1
342,WP_272683563.1
343,WP_210842993.1
344,WP_206276586.1
345,WP_210848256.1
346,EKU4005789.1
347,WP_272680213.1
348,WP_125890611.1
349,WP_208006575.1
350,WP_106454373.1
351,VEC31248.1
352,SQC43239.1
353,STV15406.1
354,STV82286.1
355,VGH80483.1
356,SQC41230.1
357,HBQ1612200.1
358,HBV2560422.1
359,HBR5310018.1
360,HBR4913473.1
361,WP_148191541.1
362,HDE1240405.1
363,UAA12002.1
364,WP_210690211.1
365,MBL2759567.1
366,PLN27313.1
367,WP_094067288.1
368,WP_102086533.1
369,WP_101983304.1
370,7TZP_A
371,HBQ0319998.1
372,HBR7649154.1
373,HBR4955067.1
374,HBR3579989.1
375,HBU3496550.1
376,HBU3016837.1
377,HBU4219873.1
378,WP_110249297.1
379,WP_109217486.1
380,HBS6308557.1
381,WP_102011940.1
382,HCF8259035.1
383,WP_099451565.1
384,HCD2098106.1
385,WP_032443884.1
386,WP_275192073.1
387,WP_004213055.1
388,GKL39869.1
389,WP_110540567.1
390,HAK02568.1
391,WP_064147698.1
392,HBW2233378.1
393,WP_283008496.1
394,HCM5715843.1
395,WP_123811376.1
396,HCU1194971.1
397,HCC7935543.1
398,WP_048968672.1
399,WP_169517374.1
400,WP_262216098.1
401,WP_274587922.1
402,QLO50862.1
403,WP_154022698.1
404,WP_064379585.1
405,WP_211801454.1
406,WP_049090252.1
407,WP_023321584.1
408,EAS9163873.1
409,WP_032751155.1
410,WP_014226723.1
411,WP_004105424.1
412,PLN68838.1
413,MCY2847847.1
414,WP_211668181.1
415,WP_102096589.1
416,HBV8607733.1
417,WP_102090111.1
418,WP_102058940.1
419,HBU3419769.1
420,WP_097544968.1
421,HBV2620764.1
422,WP_232415743.1
423,WP_049594167.1
424,WP_224234249.1
425,WP_138094980.1
426,WP_050534237.1
427,WP_139512567.1
428,WP_221691572.1
429,WP_194968045.1
430,EAU4681317.1
431,HBM2897214.1
432,WP_049075672.1
433,HBV4273068.1
434,HCI7414420.1
435,WP_154919679.1
436,WP_182095115.1
437,EDW2056486.1
438,WP_196562001.1
439,WP_142468419.1
440,WP_148849843.1
441,WP_275272996.1
442,GJK64785.1
443,WP_031592911.1
444,HCM6049839.1
445,HDG7581124.1
446,WP_134897573.1
447,EKK7833637.1
448,QGV96169.1
449,WP_224322379.1
450,WP_203034233.1
451,HBS9725594.1
452,WP_130947206.1
453,HBR5488878.1
454,WP_256809937.1
455,WP_160741245.1
456,EAA8761646.1
457,WP_032441541.1
458,WP_053064404.1
459,WP_064343794.1
460,WP_102803223.1
461,WP_047722944.1
462,WP_221018736.1
463,WP_064375529.1
464,HBX6153761.1
465,WP_211809869.1
466,HDG7812581.1
467,WP_021462556.1
468,WP_259431208.1
469,WP_172868704.1
470,WP_195858932.1
471,HBY5785855.1
472,WP_014839474.1
473,WP_057173453.1
474,WP_046181444.1
475,HBV4234957.1
476,WP_070984401.1
477,WP_071068205.1
478,HBY2477193.1
479,WP_159192901.1
480,WP_259515048.1
481,WP_171490049.1
482,WP_032720110.1
483,HBQ0259546.1
484,WP_040225994.1
485,WP_117058606.1
486,MCY2434891.1
487,MCP6754791.1
488,HBS1470809.1
489,WP_009654978.1
490,WP_080842285.1
491,WP_004124837.1
492,HBV6572390.1
493,WP_265709665.1
494,WP_134878244.1
495,WP_223365535.1
496,WP_265837990.1
497,WP_269312595.1
498,WP_071042613.1
499,WP_171459752.1
500,WP_155884351.1
501,EIX9479723.1
502,WP_117262574.1
503,WP_025713246.1
504,WP_105889141.1
505,WP_087761238.1
506,HBR6947421.1
507,HCQ8552182.1
508,WP_274913366.1
509,WP_259487850.1
510,WP_259527937.1
511,WP_244058323.1
512,WP_156651259.1
513,WP_274894547.1
514,WP_274818739.1
515,WP_159198722.1
516,HBR5089019.1
517,EIX9186300.1
518,HCD2615198.1
519,MCE0437778.1
520,HDG7916446.1
521,WP_224239587.1
522,WP_259516750.1
523,HCF8329299.1
524,WP_226617972.1
525,HCM4296239.1
526,WP_219712879.1
527,WP_062920724.1
528,WP_130950218.1
529,EKU3964549.1
530,QGV94152.1
531,HBR5158441.1
532,WP_159194147.1
533,WP_040216572.1
534,WP_049182682.1
535,HCU1269758.1
536,HCI4373684.1
537,WP_181026260.1
538,WP_135729205.1
539,WP_094354426.1
540,HCA0318453.1
541,WP_075394901.1
542,WP_242818404.1
543,HBS2713323.1
544,WP_211694977.1
545,WP_219542450.1
546,WP_040148010.1
547,WP_064411331.1
548,WP_065908377.1
549,WP_234245767.1
550,OJS86539.1
551,HBU7831434.1
552,WP_114425913.1
553,WP_100908208.1
554,HCT6590582.1
555,MBK3307422.1
556,HCA9726034.1
557,WP_088498180.1
558,HBS7089351.1
559,HBR2736217.1
560,WP_065954178.1
561,WP_247106388.1
562,MCY2667637.1
563,WP_169518608.1
564,WP_281080369.1
565,WP_259121760.1
566,WP_032417118.1
567,WP_116955417.1
568,HCB2373557.1
569,WP_211658054.1
570,EKX1747770.1
571,WP_023289688.1
572,WP_048975152.1
573,WP_243228669.1
574,WP_241185120.1
575,WP_161205727.1
576,WP_002444484.1
577,MCY2135218.1
578,WP_179396534.1
579,WP_115668008.1
580,HBR1687632.1
581,UMG53762.1
582,WP_065890026.1
583,EIX9443395.1
584,WP_274158554.1
585,WP_049025843.1
586,HBV6177888.1
587,WP_262191100.1
588,WP_251355227.1
589,HBW1291102.1
590,WP_255057411.1
591,MCM6028925.1
592,WP_152154767.1
593,WP_169534631.1
594,MBD0873419.1
595,WP_227365429.1
596,WP_235140704.1
597,HBX5721364.1
598,MCE0229023.1
599,WP_221395413.1
600,WP_087829389.1
601,STV30370.1
602,WP_032694031.1
603,WP_004190119.1
604,WP_275194827.1
605,SQC87918.1
606,WP_179373564.1
607,WP_135629914.1
608,MBK3023002.1
609,WP_265660064.1
610,HBV9973332.1
611,WP_014907596.1
612,WP_181467426.1
613,WP_032409690.1
614,WP_071443853.1
615,WP_219712515.1
616,WP_102054311.1
617,HBR5240768.1
618,WP_023313171.1
619,HCB2483213.1
620,WP_204779789.1
621,WP_179374109.1
622,WP_065518908.1
623,HBR7959183.1
624,WP_113878455.1
625,WP_015958412.1
626,WP_240029436.1
627,6T6N_A
628,WP_021314358.1
629,WP_213075864.1
630,WP_040025890.1
631,WP_040152734.1
632,WP_135801258.1
633,WP_151466877.1
634,MBK2596391.1
635,HBS2476446.1
636,WP_002904841.1
637,MCG4511423.1
638,HBQ6732545.1
639,WP_277466205.1
640,WP_179385984.1
641,WP_117054494.1
642,HDE0921611.1
643,WP_049186275.1
644,WP_224422043.1
645,HBQ2694612.1
646,WP_135713721.1
647,WP_048299448.1
648,HCB1403411.1
649,WP_110924738.1
650,WP_004134466.1
651,WP_060589178.1
652,WP_117080299.1
653,WP_135679267.1
654,WP_004179835.1
655,HCI5144995.1
656,WP_038423549.1
657,WP_154914013.1
658,WP_060175819.1
659,HBZ8289130.1
660,WP_130967224.1
661,WP_116798975.1
662,WP_221011248.1
663,HBX0628111.1
664,WP_004184056.1
665,WP_255063990.1
666,WP_154928402.1
667,WP_265827329.1
668,WP_040170954.1
669,WP_064146349.1
670,HBQ7316377.1
671,HDH0202218.1
672,WP_195494378.1
673,HBW8312442.1
674,HDK6459369.1
675,WP_150395916.1
676,WP_100105233.1
677,WP_274729698.1
678,WP_032433110.1
679,UMX78450.1
680,WP_263304984.1
681,HBQ3899132.1
682,HBR4827081.1
683,WP_227393330.1
684,WP_110225409.1
685,WP_222234573.1
686,WP_284109274.1
687,MDN4025404.1
688,WP_228366357.1
689,WP_094919737.1
690,EKT9688069.1
691,HCI8066009.1
692,WP_256756038.1
693,PLK96250.1
694,WP_214163531.1
695,WP_240105262.1
696,WP_255091084.1
697,MBZ7028098.1
698,WP_048984454.1
699,WP_032103174.1
700,WP_117078393.1
701,UMI65676.1
702,WP_123709797.1
703,ORU02179.1
704,HBZ1586445.1
705,HCT6014569.1
706,WP_269776748.1
707,HBR2609636.1
708,MCP5856925.1
709,WP_117980278.1
710,WP_200533740.1
711,WP_142446966.1
712,HCI8415309.1
713,WP_221015738.1
714,EKT9446780.1
715,HDK6915034.1
716,WP_032729044.1
717,HBQ8757238.1
718,MCS6038825.1
719,HDE0916168.1
720,WP_117095535.1
721,WP_040211314.1
722,WP_234284817.1
723,WP_110235067.1
724,WP_094641517.1
725,HBS6677552.1
726,WP_048991424.1
727,UMP92613.1
728,MCF6692170.1
729,HDI1725077.1
730,HCB0713848.1
731,WP_115196719.1
732,WP_048292042.1
733,WP_159178869.1
734,WP_134366995.1
735,NAU58778.1
736,HBV8043529.1
737,WP_250099355.1
738,WP_136034252.1
739,WP_032448708.1
740,HBY5163494.1
741,MBD7806561.1
742,HBR2872745.1
743,HBV5531765.1
744,WP_045853243.1
745,HBX6834216.1
746,WP_070552862.1
747,PKH25234.1
748,WP_096148266.1
749,WP_132731526.1
750,WP_049292307.1
751,WP_024558988.1
752,SLU45673.1
753,WP_024554711.1
754,PQE28187.1
755,XP_007740143.1
756,XP_013272725.1
757,OQU95824.1
758,TVY90245.1
759,KAH6676874.1
760,KAH8702973.1
761,XP_056068760.1
762,KAF2852883.1
763,XP_003843365.1
764,KAF1836219.1
765,XP_018038421.1
766,KAJ4994002.1
767,XP_016614274.1
768,KAF9740264.1
769,RFU29407.1
770,RJE20928.1
771,XP_025427364.1
772,KAF4204196.1
773,GAQ04409.1
774,KAF4212874.1
775,XP_022386024.1
776,PQE17072.1
777,XP_024708268.1
778,XP_033417986.1
779,KAJ0424150.1
780,CEL07977.1
781,XP_033425532.1
782,XP_001213762.1
783,XP_041547269.1
784,XP_001263404.1
785,ODM19199.1
786,XP_043134089.1
787,XP_022402367.1
788,XP_040638256.1
789,XP_007723822.1
790,XP_013270226.1
791,XP_007735078.1
792,KAJ9649684.1
793,OQO19392.1
794,OQO01450.1
795,GAM87981.1
796,KAF2153813.1
797,KAK0513229.1
798,XP_007680140.1
799,MCJ1277398.1
800,XP_024696759.1
801,KXL50478.1
802,RMZ78339.1
803,PLN79843.1
804,XP_035343429.1
805,XP_024670188.1
806,XP_026618650.1
807,WP_102771586.1
808,WP_274070598.1
809,WP_111825462.1
810,WP_137973461.1
811,WP_192399318.1
812,WP_084332900.1
813,WP_076582782.1
814,WP_272795421.1
815,WP_298111243.1
816,WP_237045993.1
817,WP_266207742.1
818,MDN5516930.1
819,WP_233683464.1
820,WP_252271687.1
821,WP_119692099.1
822,WP_279868788.1
823,WP_043310245.1
824,WP_298142003.1
825,WP_273816008.1
826,WP_243363810.1
827,WP_024974266.1
828,WP_024977582.1
829,WP_004631420.1
830,WP_252693834.1
831,WP_045218715.1
832,WP_104609907.1
833,WP_063394747.1
834,MDE2203340.1
835,WP_252682927.1
836,WP_048935578.1
837,WP_112187295.1
838,WP_296660956.1
839,WP_071332730.1
840,WP_301845438.1
841,WP_153075181.1
842,WP_124656033.1
843,WP_060298470.1
844,WP_089497139.1
845,WP_131754509.1
846,WP_060368049.1
847,WP_059595420.1
848,WP_261541493.1
849,WP_060154143.1
850,WP_059738516.1
851,WP_217114799.1
852,WP_060182628.1
853,WP_059864361.1
854,WP_063551533.1
855,WP_110419178.1
856,WP_071769374.1
857,WP_060030975.1
858,WP_035954683.1
859,WP_011880097.1
860,WP_160928953.1
861,WP_059507288.1
862,WP_059539470.1
863,WP_059461427.1
864,WP_076474612.1
865,WP_059793706.1
866,WP_070553545.1
867,WP_006402439.1
868,WP_060395958.1
869,WP_059799011.1
870,WP_060151217.1
871,WP_060211913.1
872,WP_046424858.1
873,WP_060966301.1
874,WP_105756195.1
875,WP_060000114.1
876,WP_014725833.1
877,WP_219139621.1
878,WP_105773520.1
879,WP_059653038.1
880,WP_132017654.1
881,WP_059525124.1
882,WP_105794146.1
883,WP_060218717.1
884,WP_261545563.1
885,WP_261540650.1
886,WP_060202763.1
887,WP_105847233.1
888,WP_060195146.1
889,WP_059702191.1
890,WP_095399674.1
891,WP_060276899.1
892,WP_059918182.1
893,WP_059614358.1
894,WP_124511051.1
895,WP_060074318.1
896,WP_124882159.1
897,WP_060106087.1
898,WP_059779233.1
899,WP_069223708.1
900,WP_179402097.1
901,WP_042583624.1
902,WP_060346443.1
903,WP_059935402.1
904,WP_060302294.1
905,WP_105761529.1
906,WP_175659380.1
907,WP_069239494.1
908,WP_249462595.1
909,WP_010097274.1
910,WP_228909744.1
911,WP_059960758.1
912,WP_034192758.1
913,WP_089491339.1
914,WP_138848731.1
915,WP_059749380.1
916,WP_124611663.1
917,WP_175907203.1
918,WP_060200723.1
919,WP_105785091.1
920,WP_102128821.1
921,WP_176043765.1
922,WP_096498981.1
923,WP_205818190.1
924,WP_059482349.1
925,WP_060365684.1
926,WP_166722750.1
927,WP_175789687.1
928,WP_175673993.1
929,WP_059566967.1
930,WP_124517651.1
931,WP_229082259.1
932,WP_006760531.1
933,WP_105832720.1
934,WP_126362264.1
935,WP_007180837.1
936,WP_026044822.1
937,WP_209927804.1
938,WP_287189299.1
939,WP_175705686.1
940,AQH03655.1
941,WP_012365892.1
942,WP_175662896.1
943,WP_175729288.1
944,WP_011658630.1
945,WP_060256582.1
946,WP_059885518.1
947,WP_059971929.1
948,WP_124556737.1
949,WP_050012956.1
950,WP_212117314.1
951,WP_106857219.1
952,WP_280987824.1
953,WP_212052450.1
954,WP_090528859.1
955,WP_129563797.1
956,WP_035926167.1
957,WP_151063371.1
958,WP_175654917.1
959,WP_011489519.1
960,WP_169487332.1
961,WP_250535518.1
962,WP_228981284.1
963,WP_158954213.1
964,WP_175948538.1
965,WP_169495726.1
966,TCK44396.1
967,WP_238468701.1
968,WP_238287563.1
969,WP_028212573.1
970,WP_152857733.1
971,WP_115780741.1
972,WP_133184615.1
973,WP_238211931.1
974,WP_018421423.1
975,WP_072436624.1
976,WP_175958954.1
977,WP_184010981.1
978,WP_128590740.1
979,WP_213306280.1
980,WP_133662156.1
981,WP_219799263.1
982,WP_042260372.1
983,WP_020069022.1
984,WP_250487212.1
985,WP_206000544.1
986,WP_064286385.1
987,WP_152760729.1
988,WP_035533460.1
989,WP_075157846.1
990,WP_016348269.1
991,WP_063496955.1
992,WP_244849507.1
993,WP_158759967.1
994,WP_061124239.1
995,WP_038709798.1
996,WP_007578118.1
997,WP_115098750.1
998,WP_034179719.1
999,WP_206468751.1
1000,TCG08636.1
1001,WP_258283573.1
1002,WP_250517194.1
1003,WP_175229255.1
1004,WP_176381271.1
1005,GJH16108.1
1006,WP_040049768.1
1007,WP_250454225.1
1008,WP_087738026.1
1009,WP_187635556.1
1010,WP_167046790.1
1011,WP_184141944.1
1012,WP_124151664.1
1013,WP_090801376.1
1014,WP_106283304.1
1015,WP_035547687.1
1016,WP_064268573.1
1017,WP_007744134.1
1018,WP_174417890.1
1019,SIO30048.1
1020,WP_105507979.1
1021,WP_211613524.1
1022,WP_090867878.1
1023,WP_179703369.1
1024,WP_018434447.1
1025,WP_153134779.1
1026,WP_233850891.1
1027,WP_035989956.1
1028,RZF26455.1
1029,WP_061146611.1
1030,WP_244795625.1
1031,WP_062128839.1
1032,WP_027198473.1
1033,WP_224032811.1
1034,WP_175942217.1
1035,CAH2902119.1
1036,WP_109478011.1
1037,KAK47778.1
1038,WP_091774724.1
1039,WP_134193201.1
1040,WP_216749984.1
1041,WP_134165812.1
1042,WP_172165317.1
1043,WP_120290071.1
1044,WP_133647843.1
1045,WP_224013531.1
1046,WP_176105350.1
1047,WP_184070780.1
1048,ASL44933.1
1049,WP_102631118.1
1050,WP_205812579.1
1051,WP_187628941.1
1052,EDZ97928.1
1053,WP_116139531.1
1054,WP_183796515.1
1055,WP_233831594.1
1056,WP_065060831.1
1057,WP_035965974.1
1058,WP_060601877.1
1059,WP_184068719.1
1060,WP_200618133.1
1061,WP_272623538.1
1062,WP_250500860.1
1063,WP_111929673.1
1064,WP_244816390.1
1065,WP_013090176.1
1066,WP_062608017.1
1067,WP_054934036.1
1068,WP_175158407.1
1069,WP_250477994.1
1070,WP_238270927.1
1071,WP_280995987.1
1072,WP_121315430.1
1073,WP_233802798.1
1074,WP_025601430.1
1075,WP_094779794.1
1076,WP_028200122.1
1077,WP_180721786.1
1078,WP_085481020.1
1079,MDE1006427.1
1080,WP_027803961.1
1081,WP_093639119.1
1082,WP_149673668.1
1083,WP_030101217.1
1084,WP_118183554.1
1085,WP_091011459.1
1086,WP_012434023.1
1087,WP_073427125.1
1088,WP_012400111.1
1089,WP_209932799.1
1090,WP_134458085.1
1091,WP_069267963.1
1092,WP_091799927.1
1093,WP_201653119.1
1094,WP_176124376.1
1095,WP_095418505.1
1096,WP_087647439.1
1097,WP_176369520.1
1098,WP_144138397.1
1099,WP_230511315.1
1100,WP_266228434.1
1101,WP_061118710.1
1102,WP_144155913.1
1103,WP_144111830.1
1104,WP_120343477.1
1105,WP_015003513.1
1106,WP_299634954.1
1107,WP_154559950.1
1108,WP_042321755.1
1109,WP_201070455.1
1110,WP_090681606.1
1111,WP_054037280.1
1112,WP_074765177.1
1113,WP_228874905.1
1114,WP_223963813.1
1115,NKJ47902.1
1116,WP_061170644.1
1117,WP_075302130.1
1118,WP_028208525.1
1119,WP_006050206.1
1120,WP_137958444.1
1121,WP_028360857.1
1122,WP_087628623.1
1123,WP_147233756.1
1124,WP_165090383.1
1125,WP_028369862.1
1126,WP_172310653.1
1127,WP_205974391.1
1128,WP_027212384.1
1129,WP_175151039.1
1130,WP_013340188.1
1131,SOE62717.1
1132,WP_301783299.1
1133,WP_277036846.1
1134,WP_158935830.1
1135,WP_213763879.1
1136,WP_122157491.1
1137,WP_299714603.1
1138,WP_062090464.1
1139,WP_031359266.1
1140,WP_047897268.1
1141,WP_074266733.1
1142,WP_089160290.1
1143,WP_114810631.1
1144,WP_126875687.1
1145,WP_199541500.1
1146,WP_205993720.1
1147,WP_017778080.1
1148,KAF1854175.1
1149,MBC8452297.1
1150,MDF2672685.1
1151,MBN2850241.1
1152,MCD6104571.1
1153,NMB07162.1
1154,MBR2334076.1
1155,HAM62711.1
1156,MDF2951160.1
1157,MDD4832883.1
1158,WP_146924233.1
1159,WP_074351069.1
1160,MDF2472858.1
1161,TVP94155.1
1162,HHT45324.1
1163,MDI9520198.1
1164,MDD3831328.1
1165,WP_025724894.1
1166,NLE19365.1
1167,NLC32703.1
1168,WP_236912339.1
1169,MCA0936615.1
1170,WP_243977740.1
1171,EJL6926049.1
1172,WP_258661547.1
1173,WP_140363541.1
1174,WP_203475015.1
1175,EHJ9982029.1
1176,WP_258499897.1
1177,WP_140246080.1
1178,WP_274016975.1
1179,WP_203343474.1
1180,WP_248486501.1
1181,EIA0833301.1
1182,HCH4058708.1
1183,WP_140391997.1
1184,MBE3872868.1
1185,WP_069491451.1
1186,EHH2483169.1
1187,WP_213897953.1
1188,WP_025569903.1
1189,WP_114868324.1
1190,WP_171305427.1
1191,WP_025505489.1
1192,WP_140342697.1
1193,MBM5097570.1
1194,WP_140119477.1
1195,MCF9076941.1
1196,WP_086495445.1
1197,WP_038886440.1
1198,MBE3791391.1
1199,WP_042770706.1
1200,HCH5320098.1
1201,WP_089203889.1
1202,HAV1397372.1
1203,EJG1656620.1
1204,WP_282065491.1
1205,WP_140364564.1
1206,WP_053816056.1
1207,WP_029824115.1
1208,EHH2419048.1
1209,EHH1171912.1
1210,WP_274058539.1
1211,WP_187568193.1
1212,WP_140218378.1
1213,WP_025794203.1
1214,EJG0734704.1
1215,WP_140072844.1
1216,HCM1328936.1
1217,HCG7657301.1
1218,MDG2640409.1
1219,EJG1065090.1
1220,MDF4374484.1
1221,WP_140056371.1
1222,EHJ9986373.1
1223,WP_025542072.1
1224,HCE2454209.1
1225,WP_029861578.1
1226,WP_110176577.1
1227,WP_140375645.1
1228,WP_138937163.1
1229,EID4333244.1
1230,WP_025534619.1
1231,EIK4810667.1
1232,EGQ9467696.1
1233,HCG8630372.1
1234,EKB3553316.1
1235,WP_147691462.1
1236,WP_031820901.1
1237,WP_025817699.1
1238,MDF4612943.1
1239,WP_069504845.1
1240,WP_203518940.1
1241,WP_029809696.1
1242,WP_025559338.1
1243,HCE3707330.1
1244,WP_140311389.1
1245,EGQ8959588.1
1246,WP_029802225.1
1247,WP_025573939.1
1248,WP_140382609.1
1249,HCG6646313.1
1250,WP_228072332.1
1251,WP_021484162.1
